Tag,Freq_in_tags,Freq_Offers,Manual validation,,,,,,
mobile,94,58564,no,,,,,,
dynamic,94,8270,no,,,,,,
git,126,10789,yes,,,,,,
tools,93,12107,no,,,,,,
user,93,8413,no,,,,,,
boost,93,1032,no,,,,,,
angular,199,10303,yes,,,,,,
function,91,3100,no,,,,,,
service,89,396126,no,,,,,,
oracle,86,10031,yes,,,,,,
iot,14,9949,yes,,,,,,
iso,18,9536,yes,,,,,,
mode,86,70566,no,,,,,,
matlab,20,8752,yes,,,,,,
control,86,9507,no,,,,,,
query,85,369,no,,,,,,
mysql,139,8715,yes,,,,,,
engine,84,1582,no,,,,,,
zend,84,600,no,,,,,,
cms,16,8343,yes,,,,,,
manager,83,112818,no,,,,,,
ios,123,7778,yes,,,,,,
time,81,15431,no,,,,,,
aws,89,7506,yes,,,,,,
docker,35,6990,yes,,,,,,
memory,80,574,no,,,,,,
view,79,1597,no,,,,,,
library,79,557,no,,,,,,
build,78,10238,no,,,,,,
react,98,6987,yes,,,,,,
microsoft,76,28971,no,,,,,,
sharepoint,45,6779,yes,,,,,,
api rest,47,6571,yes,,,,,,
services,74,381722,no,,,,,,
automation,24,6426,yes,,,,,,
template,73,899,no,,,,,,
core,72,5207,no,,,,,,
event,71,7269,no,,,,,,
multiple,70,4426,no,,,,,,
spring,169,6264,yes,,,,,,
testing,68,7533,no,,,,,,
tree,68,430,no,,,,,,
content,67,21316,no,,,,,,
mod,66,401,no,,,,,,
browser,65,259,no,,,,,,
cache,64,1060,no,,,,,,
graph,64,400,no,,,,,,
string,64,28,no,,,,,,
editor,63,423,no,,,,,,
amazon,62,5135,no,,,,,,
extension,62,3895,no,,,,,,
layout,61,486,no,,,,,,
key,60,20781,no,,,,,,
list,60,3483,no,,,,,,
array,60,286,no,,,,,,
static,60,170,no,,,,,,
network,59,10835,no,,,,,,
storage,59,971,no,,,,,,
method,59,739,no,,,,,,
select,59,631,no,,,,,,
multi,58,36145,no,,,,,,
process,57,88217,no,,,,,,
module,57,7459,no,,,,,,
url,57,560,no,,,,,,
security,92,6055,yes,,,,,,
pattern,56,735,no,,,,,,
kendo,56,64,no,,,,,,
development,55,49301,no,,,,,,
jquery,259,5527,yes,,,,,,
analysis,55,19015,no,,,,,,
virtual,55,1050,no,,,,,,
maps,55,520,no,,,,,,
filter,55,162,no,,,,,,
express,54,7265,no,,,,,,
native,54,6811,no,,,,,,
twitter,53,26820,no,,,,,,
source,53,18364,no,,,,,,
iphone,53,1217,no,,,,,,
operator,53,471,no,,,,,,
non,52,73032,no,,,,,,
validation,52,50572,no,,,,,,
open,52,19242,no,,,,,,
session,52,2456,no,,,,,,
hardware,17,5442,yes,,,,,,
reference,51,74117,no,,,,,,
page,51,20118,no,,,,,,
json,51,1863,no,,,,,,
templates,51,1759,no,,,,,,
nested,51,9,no,,,,,,
ibm,50,5246,no,,,,,,
extensions,50,1165,no,,,,,,
db,50,13,no,,,,,,
email,49,26747,no,,,,,,
jenkins,22,5169,yes,,,,,,
node,126,5119,yes,,,,,,
tag,49,1687,no,,,,,,
binding,49,96,no,,,,,,
website,17,4873,yes,,,,,,
media,48,88427,no,,,,,,
files,48,1028,no,,,,,,
path,48,1013,no,,,,,,
symfony,38,4470,yes,,,,,,
software,47,19825,no,,,,,,
nodejs,18,4333,yes,,,,,,
input,47,1203,no,,,,,,
toolkit,47,218,no,,,,,,
ms,47,1,no,,,,,,
unix,13,4300,yes,,,,,,
functions,46,2971,no,,,,,,
embedded,46,1215,no,,,,,,
compiler,46,1116,no,,,,,,
basic,15,4193,yes,,,,,,
status,45,2065,no,,,,,,
xml,97,4158,yes,,,,,,
developer,44,18050,no,,,,,,
device,44,1608,no,,,,,,
proxy,44,937,no,,,,,,
domain,44,776,no,,,,,,
window,44,333,no,,,,,,
config,44,51,no,,,,,,
post,43,17701,no,,,,,,
script,43,3267,no,,,,,,
angularjs,95,4156,yes,,,,,,
grid,43,1500,no,,,,,,
entity,43,1442,no,,,,,,
remote,43,1083,no,,,,,,
gem,43,689,no,,,,,,
screen,43,406,no,,,,,,
database,122,3861,yes,,,,,,
context,42,2140,no,,,,,,
state,42,1871,no,,,,,,
map,42,1833,no,,,,,,
wcf,42,515,no,,,,,,
ember,42,157,no,,,,,,
postgresql,26,3850,yes,,,,,,
analytics,41,29375,no,,,,,,
line,41,13109,no,,,,,,
console,41,933,no,,,,,,
interface,40,37930,no,,,,,,
types,40,22396,no,,,,,,
expression,40,20724,no,,,,,,
cross,40,9680,no,,,,,,
value,40,9543,no,,,,,,
designer,40,7230,no,,,,,,
set,40,6340,no,,,,,,
admin,40,1323,no,,,,,,
spark,46,3816,yes,,,,,,
meteor,40,320,no,,,,,,
platform,39,8774,no,,,,,,
flow,39,5268,no,,,,,,
hadoop,17,3613,yes,,,,,,
mapping,39,3003,no,,,,,,
connect,39,2944,no,,,,,,
flash,39,2428,no,,,,,,
beta,39,1771,no,,,,,,
index,39,1753,no,,,,,,
resource,39,1203,no,,,,,,
forms,39,642,no,,,,,,
load,39,607,no,,,,,,
router,39,166,no,,,,,,
yii,39,22,no,,,,,,
document,38,9949,no,,,,,,
self,38,5791,no,,,,,,
mongodb,39,3604,yes,,,,,,
dynamics,38,2532,no,,,,,,
request,38,1521,no,,,,,,
stream,38,672,no,,,,,,
protocol,38,371,no,,,,,,
commons,38,23,no,,,,,,
package,37,8262,no,,,,,,
pdf,37,6839,no,,,,,,
name,37,2596,no,,,,,,
command,37,1934,no,,,,,,
networking,10,3568,yes,,,,,,
sitecore,37,166,no,,,,,,
azure,158,3494,yes,,,,,,
update,36,3435,no,,,,,,
script shell,42,3263,yes,,,,,,
routing,36,302,no,,,,,,
loader,36,36,no,,,,,,
auth,36,5,no,,,,,,
online,35,27523,no,,,,,,
adobe,35,15616,no,,,,,,
events,35,13100,no,,,,,,
hibernate,29,3201,yes,,,,,,
variable,35,11165,no,,,,,,
bootstrap,84,3185,yes,,,,,,
exception,35,6065,no,,,,,,
processing,35,4604,no,,,,,,
message,35,4285,no,,,,,,
delphi,35,422,no,,,,,,
drupal,73,3113,yes,,,,,,
grails,35,54,no,,,,,,
group,34,54117,no,,,,,,
simple,34,19410,no,,,,,,
detection,34,14321,no,,,,,,
desktop,34,2347,no,,,,,,
asp,13,3112,yes,,,,,,
plugins,34,622,no,,,,,,
authentication,34,72,no,,,,,,
conversion,33,9665,no,,,,,,
format,33,9529,no,,,,,,
live,33,7078,no,,,,,,
apple,33,2800,no,,,,,,
color,33,2064,no,,,,,,
apache,159,3078,yes,,,,,,
connection,33,1029,no,,,,,,
builder,33,909,no,,,,,,
eclipse,80,3076,yes,,,,,,
chart,33,211,no,,,,,,
based,32,18301,no,,,,,,
store,32,9409,no,,,,,,
tracking,32,6718,no,,,,,,
schema,32,4871,no,,,,,,
audio,32,4235,no,,,,,,
import,32,3249,no,,,,,,
task,32,2101,no,,,,,,
controls,32,1778,no,,,,,,
directory,32,1462,no,,,,,,
driver,32,1333,no,,,,,,
ruby,108,2948,yes,,,,,,
struts,32,979,no,,,,,,
mac,23,2901,yes,,,,,,
maven,118,2900,yes,,,,,,
mvc,88,2850,yes,,,,,,
runtime,32,98,no,,,,,,
office,31,159214,no,,,,,,
mail,31,49690,no,,,,,,
style,31,12670,no,,,,,,
reports,31,8404,no,,,,,,
stack,31,8383,no,,,,,,
question,31,8183,no,,,,,,
variables,31,5497,no,,,,,,
push,31,3105,no,,,,,,
tool,31,2790,no,,,,,,
copy,31,885,no,,,,,,
component,31,443,no,,,,,,
algorithm,31,386,no,,,,,,
button,31,215,no,,,,,,
blackberry,31,51,no,,,,,,
contrib,31,23,no,,,,,,
base,30,216236,no,,,,,,
machine,30,24569,no,,,,,,
one,30,23260,no,,,,,,
jira,15,2811,yes,,,,,,
field,30,6941,no,,,,,,
size,30,5714,no,,,,,,
background,30,5577,no,,,,,,
enterprise,30,4894,no,,,,,,
game,30,3968,no,,,,,,
touch,30,1830,no,,,,,,
optimization,22,2788,yes,,,,,,
bit,30,323,no,,,,,,
binary,30,39,no,,,,,,
delete,30,31,no,,,,,,
business,29,259078,no,,,,,,
date,29,87302,no,,,,,,
elasticsearch,43,2771,yes,,,,,,
font,29,35437,no,,,,,,
auto,29,10046,no,,,,,,
dev,29,5929,no,,,,,,
scripting,22,2647,yes,,,,,,
phone,29,3139,no,,,,,,
exchange,29,2895,no,,,,,,
provider,29,1944,no,,,,,,
dom,29,1907,no,,,,,,
shared,29,1408,no,,,,,,
menu,29,977,no,,,,,,
paypal,29,619,no,,,,,,
github,17,2390,yes,,,,,,
thread,29,114,no,,,,,,
ansible,17,2262,yes,,,,,,
dialog,29,49,no,,,,,,
rfc,29,45,no,,,,,,
column,29,21,no,,,,,,
rails,94,1986,yes,,,,,,
local,28,23772,no,,,,,,
box,28,7170,no,,,,,,
explorer,28,4869,no,,,,,,
activity,28,3558,no,,,,,,
scope,28,2826,no,,,,,,
controller,28,2459,no,,,,,,
identity,28,1457,no,,,,,,
address,28,1369,no,,,,,,
objects,28,1128,no,,,,,,
log,28,926,no,,,,,,
django,270,1967,yes,,,,,,
block,28,322,no,,,,,,
generator,28,105,no,,,,,,
diagram,28,102,no,,,,,,
caching,28,61,no,,,,,,
point,27,57264,no,,,,,,
action,27,46398,no,,,,,,
generation,27,22074,no,,,,,,
smart,27,13859,no,,,,,,
navigation,27,7491,no,,,,,,
migration,27,6479,no,,,,,,
agent,27,4142,no,,,,,,
number,27,3051,no,,,,,,
meta,27,1035,no,,,,,,
matrix,27,770,no,,,,,,
merge,27,178,no,,,,,,
scala,49,1945,yes,,,,,,
swift,49,1869,yes,,,,,,
ajax,33,1724,yes,,,,,,
job,26,32433,no,,,,,,
active,26,31346,no,,,,,,
unit,26,16231,no,,,,,,
double,26,14031,no,,,,,,
level,26,13744,no,,,,,,
case,26,4286,no,,,,,,
typescript,19,1683,yes,,,,,,
arm,13,1651,yes,,,,,,
common,26,1253,no,,,,,,
properties,26,983,no,,,,,,
perl,45,1620,yes,,,,,,
bash,13,1591,yes,,,,,,
compression,11,1585,yes,,,,,,
container,26,471,no,,,,,,
upload,26,401,no,,,,,,
views,26,399,no,,,,,,
unity,22,1580,yes,,,,,,
parser,26,44,no,,,,,,
keyboard,26,15,no,,,,,,
site,25,237019,no,,,,,,
real,25,11706,no,,,,,,
profile,25,11044,no,,,,,,
configuration,25,10816,no,,,,,,
first,25,8574,no,,,,,,
order,25,7705,no,,,,,,
call,25,4390,no,,,,,,
apps,25,4184,no,,,,,,
kit,25,3349,no,,,,,,
tables,25,3307,no,,,,,,
side,25,2800,no,,,,,,
components,25,1258,no,,,,,,
universal,25,1217,no,,,,,,
batch,25,1112,no,,,,,,
tomcat,19,1547,yes,,,,,,
magento,36,1520,yes,,,,,,
semantic,25,337,no,,,,,,
deployment,26,1470,yes,,,,,,
login,25,253,no,,,,,,
pointer,25,179,no,,,,,,
performance,24,153398,no,,,,,,
location,24,19464,no,,,,,,
modules,24,15745,no,,,,,,
player,24,8438,no,,,,,,
coding,19,1462,yes,,,,,,
external,24,5863,no,,,,,,
resources,24,4529,no,,,,,,
play,24,4149,no,,,,,,
yahoo,24,758,no,,,,,,
loop,24,487,no,,,,,,
generic,24,290,no,,,,,,
less,13,1446,yes,,,,,,
dependency,24,68,no,,,,,,
attribute,24,59,no,,,,,,
knockout,24,44,no,,,,,,
constructor,24,3,no,,,,,,
support,23,157719,no,,,,,,
information,23,136937,no,,,,,,
pre,23,33672,no,,,,,,
collection,23,14973,no,,,,,,
drive,23,10890,no,,,,,,
outlook,23,7829,no,,,,,,
free,23,5590,no,,,,,,
link,23,3106,no,,,,,,
svn,34,1442,yes,,,,,,
policy,23,2647,no,,,,,,
methods,23,2115,no,,,,,,
camera,23,1949,no,,,,,,
streaming,21,1437,yes,,,,,,
soap,13,1371,yes,,,,,,
foundation,23,1234,no,,,,,,
akka,23,1364,yes,,,,,,
redis,23,1261,yes,,,,,,
parallel,23,326,no,,,,,,
theory,23,269,no,,,,,,
widget,23,160,no,,,,,,
header,23,39,no,,,,,,
syntax,23,26,no,,,,,,
inheritance,23,12,no,,,,,,
ie,23,1,no,,,,,,
animation,22,119396,no,,,,,,
internet,22,114400,no,,,,,,
laravel,69,1238,yes,,,,,,
space,22,5938,no,,,,,,
range,22,5670,no,,,,,,
powershell,22,1238,yes,,,,,,
secure shell,12,1213,yes,,,,,,
ionic,16,1211,yes,,,,,,
material,22,2451,no,,,,,,
bluetooth,17,1209,yes,,,,,,
wpf,30,1199,yes,,,,,,
sdk,188,1189,yes,,,,,,
feature,22,954,no,,,,,,
kafka,19,1186,yes,,,,,,
sequence,22,575,no,,,,,,
logic,22,550,no,,,,,,
middleware,14,1172,yes,,,,,,
parameter,22,65,no,,,,,,
openstack,13,1135,yes,,,,,,
inline,22,29,no,,,,,,
sass,22,1110,yes,,,,,,
heap,22,8,no,,,,,,
social,21,92053,no,,,,,,
new,21,46967,no,,,,,,
power,21,23347,no,,,,,,
home,21,8503,no,,,,,,
property,21,3561,no,,,,,,
find,21,3403,no,,,,,,
arduino,11,1102,yes,,,,,,
flex,32,1080,yes,,,,,,
debug,21,584,no,,,,,,
redux,21,1069,yes,,,,,,
statement,21,509,no,,,,,,
parameters,21,478,no,,,,,,
cassandra,18,1059,yes,,,,,,
attributes,21,338,no,,,,,,
queue,21,212,no,,,,,,
cordova,25,1056,yes,,,,,,
install,21,184,no,,,,,,
viewer,21,182,no,,,,,,
default,21,178,no,,,,,,
gpu,13,1008,yes,,,,,,
settings,21,153,no,,,,,,
bundle,21,118,no,,,,,,
encoding,21,88,no,,,,,,
password,21,87,no,,,,,,
aurelia,21,68,no,,,,,,
hook,21,39,no,,,,,,
sync,21,38,no,,,,,,
parse,21,34,no,,,,,,
ip,21,1,no,,,,,,
fortran,12,993,yes,,,,,,
fluent,20,11677,no,,,,,,
selenium,23,942,yes,,,,,,
get,20,6199,no,,,,,,
pipeline,20,3101,no,,,,,,
bar,20,2966,no,,,,,,
cluster,20,2558,no,,,,,,
workflow,20,2263,no,,,,,,
managed,20,1575,no,,,,,,
win,20,1297,no,,,,,,
rules,20,1024,no,,,,,,
recognition,20,853,no,,,,,,
host,20,843,no,,,,,,
history,20,807,no,,,,,,
junit,14,884,yes,,,,,,
webpack,23,857,yes,,,,,,
ide,25,812,yes,,,,,,
comparison,20,268,no,,,,,,
charts,20,247,no,,,,,,
jboss,26,788,yes,,,,,,
loading,20,158,no,,,,,,
wiki,13,785,yes,,,,,,
filters,20,97,no,,,,,,
insert,20,89,no,,,,,,
slider,20,76,no,,,,,,
doctrine,18,758,yes,,,,,,
scheduler,20,53,no,,,,,,
opencv,11,710,yes,,,,,,
digital,19,164796,no,,,,,,
execution,19,41923,no,,,,,,
private,19,17636,no,,,,,,
environment,19,17398,no,,,,,,
print,19,14370,no,,,,,,
fast,19,11592,no,,,,,,
version,19,10030,no,,,,,,
factory,19,4647,no,,,,,,
theme,19,4131,no,,,,,,
opengl,17,692,yes,,,,,,
deploy,15,665,yes,,,,,,
gulp,83,664,yes,,,,,,
ubuntu,28,660,yes,,,,,,
boot,19,832,no,,,,,,
read,19,734,no,,,,,,
bug,19,697,no,,,,,,
sort,19,539,no,,,,,,
ssis,12,643,yes,,,,,,
postgres,17,639,yes,,,,,,
acts,19,310,no,,,,,,
babel,19,287,no,,,,,,
iis,22,633,yes,,,,,,
spam,19,118,no,,,,,,
jpa,13,614,yes,,,,,,
gnu,26,566,yes,,,,,,
joomla,26,561,yes,,,,,,
distribution,18,93778,no,,,,,,
long,18,61970,no,,,,,,
large,18,41592,no,,,,,,
product,18,26997,no,,,,,,
pages,18,16590,no,,,,,,
collections,18,13770,no,,,,,,
ldap,15,556,yes,,,,,,
problem,18,4742,no,,,,,,
record,18,4422,no,,,,,,
mongo,19,531,yes,,,,,,
notation,18,3371,no,,,,,,
objective,18,3233,no,,,,,,
capture,18,1647,no,,,,,,
release,18,1463,no,,,,,,
watch,18,1109,no,,,,,,
return,18,1091,no,,,,,,
esb,10,523,yes,,,,,,
instance,18,906,no,,,,,,
transform,18,881,no,,,,,,
intel,21,516,yes,,,,,,
tags,18,696,no,,,,,,
upgrade,18,551,no,,,,,,
lang,18,458,no,,,,,,
random,18,446,no,,,,,,
assembly,20,515,yes,,,,,,
speech,18,386,no,,,,,,
output,18,346,no,,,,,,
buffer,18,278,no,,,,,,
ftp,11,504,yes,,,,,,
typo,18,127,no,,,,,,
camel,18,90,no,,,,,,
partial,18,86,no,,,,,,
scroll,18,54,no,,,,,,
ssrs,14,475,yes,,,,,,
flask,40,469,yes,,,,,,
initialization,18,7,no,,,,,,
null,18,2,no,,,,,,
sp,18,1,no,,,,,,
team,17,80360,no,,,,,,
structure,17,64273,no,,,,,,
public,17,61007,no,,,,,,
work,17,55588,no,,,,,,
direct,17,39581,no,,,,,,
high,17,22978,no,,,,,,
kotlin,12,465,yes,,,,,,
help,17,11969,no,,,,,,
join,17,10712,no,,,,,,
display,17,7893,no,,,,,,
element,17,6778,no,,,,,,
tfs,32,459,yes,,,,,,
jsf,10,459,yes,,,,,,
manipulation,17,4167,no,,,,,,
check,17,4118,no,,,,,,
cuda,12,447,yes,,,,,,
monitor,17,3508,no,,,,,,
member,17,3043,no,,,,,,
run,17,2773,no,,,,,,
injection,17,2412,no,,,,,,
npm,20,438,yes,,,,,,
rhino,12,425,yes,,,,,,
click,17,2232,no,,,,,,
composite,17,1216,no,,,,,,
intellij,19,421,yes,,,,,,
safe,17,1016,no,,,,,,
gateway,17,836,no,,,,,,
websphere,18,398,yes,,,,,,
magic,17,661,no,,,,,,
xcode,78,393,yes,,,,,,
distributed,17,634,no,,,,,,
bad,17,384,no,,,,,,
hosting,20,380,yes,,,,,,
layer,17,286,no,,,,,,
gwt,52,376,yes,,,,,,
character,17,209,no,,,,,,
reader,17,205,no,,,,,,
vector,17,178,no,,,,,,
alias,17,125,no,,,,,,
liferay,14,375,yes,,,,,,
token,17,100,no,,,,,,
sonarqube,15,373,yes,,,,,,
compatibility,17,90,no,,,,,,
solr,17,362,yes,,,,,,
abstract,17,77,no,,,,,,
lock,17,63,no,,,,,,
gcc,21,358,yes,,,,,,
mouse,17,23,no,,,,,,
bean,17,22,no,,,,,,
logstash,11,339,yes,,,,,,
grunt,75,334,yes,,,,,,
plus,16,895306,no,,,,,,
start,16,117867,no,,,,,,
global,16,51025,no,,,,,,
export,16,19352,no,,,,,,
resolution,16,16058,no,,,,,,
chrome,37,326,yes,,,,,,
program,16,9767,no,,,,,,
standard,16,9330,no,,,,,,
firebase,25,307,yes,,,,,,
ads,16,8236,no,,,,,,
reactive,16,4558,no,,,,,,
installer,16,3669,no,,,,,,
samsung,16,2717,no,,,,,,
single,16,1542,no,,,,,,
fields,16,1486,no,,,,,,
notifications,16,1272,no,,,,,,
sqlite,13,306,yes,,,,,,
numbers,16,726,no,,,,,,
notification,16,711,no,,,,,,
backbone,16,609,no,,,,,,
dispatch,16,551,no,,,,,,
kernel,16,425,no,,,,,,
sharp,16,389,no,,,,,,
orm,16,303,yes,,,,,,
keyword,16,285,no,,,,,,
csv,16,266,no,,,,,,
gui,29,299,yes,,,,,,
linear,16,151,no,,,,,,
shadow,16,130,no,,,,,,
formatting,16,114,no,,,,,,
download,16,100,no,,,,,,
math,15,299,yes,,,,,,
teamcity,16,69,no,,,,,,
conditional,16,65,no,,,,,,
sencha,16,58,no,,,,,,
connector,16,32,no,,,,,,
fragment,16,30,no,,,,,,
gae,16,20,no,,,,,,
yui,16,9,no,,,,,,
ssh,14,292,yes,,,,,,
ef,16,2,no,,,,,,
com,15,49719,no,,,,,,
adapter,15,31128,no,,,,,,
odoo,10,283,yes,,,,,,
installation,15,19587,no,,,,,,
center,15,10232,no,,,,,,
youtube,15,8773,no,,,,,,
send,15,5297,no,,,,,,
computer,15,4876,no,,,,,,
crystal,22,267,yes,,,,,,
share,15,3778,no,,,,,,
functional,15,3511,no,,,,,,
target,15,3039,no,,,,,,
port,15,2973,no,,,,,,
dataset,12,266,yes,,,,,,
max,15,2507,no,,,,,,
match,15,2279,no,,,,,,
groups,15,2064,no,,,,,,
reverse,15,1020,no,,,,,,
karma,16,257,yes,,,,,,
calendar,15,627,no,,,,,,
javafx,11,257,yes,,,,,,
openshift,10,257,yes,,,,,,
graphics,15,345,no,,,,,,
named,15,304,no,,,,,,
gradle,33,255,yes,,,,,,
row,15,281,no,,,,,,
mock,10,247,yes,,,,,,
modal,15,245,yes,,,,,,
replace,15,227,no,,,,,,
rendering,15,150,no,,,,,,
netbeans,17,242,yes,,,,,,
permissions,15,95,no,,,,,,
wix,13,238,yes,,,,,,
icon,15,63,no,,,,,,
workbench,11,229,yes,,,,,,
hash,15,40,no,,,,,,
swagger,15,228,yes,,,,,,
redirect,15,18,no,,,,,,
lazy,15,17,no,,,,,,
extjs,18,210,yes,,,,,,
recursive,15,6,no,,,,,,
pack,14,96755,no,,,,,,
role,14,76172,no,,,,,,
suite,14,48443,no,,,,,,
documentation,14,33350,no,,,,,,
position,14,27277,no,,,,,,
change,14,19049,no,,,,,,
precision,14,10986,no,,,,,,
jasmine,19,201,yes,,,,,,
route,14,9136,no,,,,,,
like,14,7203,no,,,,,,
report,14,6263,no,,,,,,
include,14,6071,no,,,,,,
extraction,14,5851,no,,,,,,
languages,14,4447,no,,,,,,
soft,14,3798,no,,,,,,
right,14,3641,no,,,,,,
close,14,3454,no,,,,,,
fixed,14,2998,no,,,,,,
portable,14,2911,no,,,,,,
interactive,14,2848,no,,,,,,
zero,14,2387,no,,,,,,
forward,14,2280,no,,,,,,
pool,14,1906,no,,,,,,
square,14,1470,no,,,,,,
codeigniter,21,196,yes,,,,,,
switch,14,1081,no,,,,,,
voice,14,1027,no,,,,,,
elastic,14,955,no,,,,,,
lua,20,192,yes,,,,,,
messaging,14,869,no,,,,,,
card,14,780,no,,,,,,
setup,14,688,no,,,,,,
border,14,672,no,,,,,,
nexus,14,528,no,,,,,,
branch,14,503,no,,,,,,
lambda,14,502,no,,,,,,
dojo,10,190,yes,,,,,,
pixel,14,474,no,,,,,,
bridge,14,473,no,,,,,,
polymer,14,441,no,,,,,,
curve,14,421,no,,,,,,
groovy,12,184,yes,,,,,,
cast,14,312,no,,,,,,
rust,14,180,yes,,,,,,
debugging,14,194,no,,,,,,
ant,12,173,yes,,,,,,
repository,14,169,no,,,,,,
logging,21,171,yes,,,,,,
encryption,14,115,no,,,,,,
integer,14,107,no,,,,,,
ext,14,107,no,,,,,,
phonegap,12,167,yes,,,,,,
couchbase,10,156,yes,,,,,,
indexing,10,146,yes,,,,,,
symbol,14,66,no,,,,,,
typing,14,64,no,,,,,,
wizard,14,56,no,,,,,,
folder,14,54,no,,,,,,
profiler,14,50,no,,,,,,
handler,14,32,no,,,,,,
typed,14,24,no,,,,,,
firefox,42,134,yes,,,,,,
anonymous,14,18,no,,,,,,
tabs,14,8,no,,,,,,
force,13,156901,no,,,,,,
cycle,13,44502,no,,,,,,
protection,13,26079,no,,,,,,
linkedin,13,26015,no,,,,,,
expansion,13,20773,no,,,,,,
account,13,14891,no,,,,,,
quality,13,11426,no,,,,,,
signature,13,10421,no,,,,,,
related,13,9074,no,,,,,,
bus,13,7873,no,,,,,,
mini,13,6301,no,,,,,,
oriented,13,5862,no,,,,,,
per,13,5391,no,,,,,,
anti,13,5144,no,,,,,,
macro,13,4950,no,,,,,,
options,13,4708,no,,,,,,
sbt,24,134,yes,,,,,,
hub,13,3599,no,,,,,,
computing,13,3379,no,,,,,,
cakephp,32,130,yes,,,,,,
values,13,2388,no,,,,,,
red,13,2321,no,,,,,,
arc,13,2273,no,,,,,,
payment,13,2220,no,,,,,,
modeling,13,1970,no,,,,,,
bing,13,1664,no,,,,,,
linq,32,129,yes,,,,,,
vim,17,124,yes,,,,,,
lifecycle,13,1494,no,,,,,,
svg,13,120,yes,,,,,,
handling,13,1387,no,,,,,,
geometry,15,115,yes,,,,,,
metadata,14,115,yes,,,,,,
cli,57,106,yes,,,,,,
mercurial,13,105,yes,,,,,,
haskell,27,103,yes,,,,,,
scheme,13,611,no,,,,,,
rich,13,514,no,,,,,,
length,13,502,no,,,,,,
clause,13,471,no,,,,,,
automatic,13,444,no,,,,,,
compile,13,425,no,,,,,,
compact,13,394,no,,,,,,
fabric,13,369,no,,,,,,
libraries,13,356,no,,,,,,
osx,26,100,yes,,,,,,
rspec,12,100,yes,,,,,,
spec,13,228,no,,,,,,
annotations,13,215,no,,,,,,
bulk,13,161,no,,,,,,
child,13,161,no,,,,,,
cookie,13,145,no,,,,,,
glassfish,11,99,yes,,,,,,
preview,13,116,no,,,,,,
parsing,20,97,yes,,,,,,
width,13,104,no,,,,,,
cocoa,17,97,yes,,,,,,
lucene,13,94,yes,,,,,,
duplicate,13,81,no,,,,,,
constraint,13,80,no,,,,,,
argument,13,76,no,,,,,,
couchdb,10,94,yes,,,,,,
helpers,13,61,no,,,,,,
checkout,13,58,no,,,,,,
disk,13,43,no,,,,,,
implicit,13,24,no,,,,,,
helper,13,15,no,,,,,,
serialization,13,12,no,,,,,,
addon,13,10,no,,,,,,
dart,29,91,yes,,,,,,
selector,13,6,no,,,,,,
validator,13,5,no,,,,,,
ci,13,4,no,,,,,,
ad,13,2,no,,,,,,
definition,12,82705,no,,,,,,
evaluation,12,50680,no,,,,,,
vue,12,38724,no,,,,,,
community,12,36216,no,,,,,,
learning,12,35633,no,,,,,,
end,12,23527,no,,,,,,
world,12,20589,no,,,,,,
systems,12,14520,no,,,,,,
interaction,12,12274,no,,,,,,
surface,12,11349,no,,,,,,
ecmascript,13,91,yes,,,,,,
pass,12,9214,no,,,,,,
driven,12,7597,no,,,,,,
create,12,7394,no,,,,,,
